date,state,cases,deaths
01-03-2020,New York,1,0
02-03-2020,New York,1,0
03-03-2020,New York,2,0
04-03-2020,New York,11,0
05-03-2020,New York,22,0
06-03-2020,New York,44,0
07-03-2020,New York,89,0
08-03-2020,New York,106,0
09-03-2020,New York,142,0
10-03-2020,New York,173,0
11-03-2020,New York,217,0
12-03-2020,New York,326,0
13-03-2020,New York,421,0
14-03-2020,New York,610,2
15-03-2020,New York,732,6
16-03-2020,New York,950,10
17-03-2020,New York,1375,18
18-03-2020,New York,2387,32
19-03-2020,New York,4161,39
20-03-2020,New York,7113,68
21-03-2020,New York,10371,95
22-03-2020,New York,15188,142
23-03-2020,New York,20899,183
24-03-2020,New York,25704,264
25-03-2020,New York,33117,381
26-03-2020,New York,39058,502
27-03-2020,New York,44746,645
28-03-2020,New York,53517,935
29-03-2020,New York,59783,1180
30-03-2020,New York,67504,1512
31-03-2020,New York,76211,1929
01-04-2020,New York,84364,2415
02-04-2020,New York,93360,2963
03-04-2020,New York,103689,3716
04-04-2020,New York,115963,4535
05-04-2020,New York,124085,5335
06-04-2020,New York,133389,6149
07-04-2020,New York,141703,7185
08-04-2020,New York,151271,8138
09-04-2020,New York,162036,9166
10-04-2020,New York,172830,10162
11-04-2020,New York,182990,11159
12-04-2020,New York,191425,12116
13-04-2020,New York,197973,12998
14-04-2020,New York,205375,14001
15-04-2020,New York,217130,14937
16-04-2020,New York,225761,15669
17-04-2020,New York,233293,16473
18-04-2020,New York,240542,17141
19-04-2020,New York,246741,17793
20-04-2020,New York,251608,18412
21-04-2020,New York,255932,19040
22-04-2020,New York,261591,19647
23-04-2020,New York,267932,20212
24-04-2020,New York,276218,20759
25-04-2020,New York,286901,21326
26-04-2020,New York,292914,21804
27-04-2020,New York,296991,22267
28-04-2020,New York,300276,22777
29-04-2020,New York,304994,23287
30-04-2020,New York,309696,23616
01-05-2020,New York,313575,23841
02-05-2020,New York,318134,24035
03-05-2020,New York,321833,24576
04-05-2020,New York,324357,24788
05-05-2020,New York,326659,25028
06-05-2020,New York,329405,25956
07-05-2020,New York,332931,26206
08-05-2020,New York,335804,26358
09-05-2020,New York,338519,26584
10-05-2020,New York,340657,26798
11-05-2020,New York,342267,27003
12-05-2020,New York,343705,27282
13-05-2020,New York,345828,27448
14-05-2020,New York,348192,27617
15-05-2020,New York,350951,27755
16-05-2020,New York,353136,27953
17-05-2020,New York,355037,28168
18-05-2020,New York,356278,28302
19-05-2020,New York,357757,28437
20-05-2020,New York,359235,28540
21-05-2020,New York,361313,28663
22-05-2020,New York,362991,28802
23-05-2020,New York,364745,28900
24-05-2020,New York,366346,29046
25-05-2020,New York,367625,29138
26-05-2020,New York,368669,29241
27-05-2020,New York,369801,29339
28-05-2020,New York,371559,29438
29-05-2020,New York,373108,29535
30-05-2020,New York,374471,29612
31-05-2020,New York,375575,29699
01-06-2020,New York,376520,29766
02-06-2020,New York,377881,29847
03-06-2020,New York,378924,29918
04-06-2020,New York,379977,30011
05-06-2020,New York,381019,30066
06-06-2020,New York,382102,30123
07-06-2020,New York,382879,30183
08-06-2020,New York,383591,30239
09-06-2020,New York,384281,30309
10-06-2020,New York,384945,30376
11-06-2020,New York,385669,30431
12-06-2020,New York,386490,30511
13-06-2020,New York,387402,30565
14-06-2020,New York,388096,30605
15-06-2020,New York,388719,30645
16-06-2020,New York,389349,30683
17-06-2020,New York,389910,30722
18-06-2020,New York,390536,30767
19-06-2020,New York,391330,30816
20-06-2020,New York,392037,30839
21-06-2020,New York,392702,30884
22-06-2020,New York,393257,30934
23-06-2020,New York,393855,30970
24-06-2020,New York,394430,31001
25-06-2020,New York,395168,31029
26-06-2020,New York,395972,31075
27-06-2020,New York,396669,31105
28-06-2020,New York,397293,31137
29-06-2020,New York,397684,31143
30-06-2020,New York,398142,31776
01-07-2020,New York,398770,31791
02-07-2020,New York,399642,31814
03-07-2020,New York,400561,31836
04-07-2020,New York,401286,31860
05-07-2020,New York,401822,31895
06-07-2020,New York,402338,31911
